sent,recieved,retransmitted,lost,time
6.98 MB,122.60 KB,4 Pkts,1 Pkts,1524188579692
6.98 MB,122.60 KB,5 Pkts,1 Pkts,1524188579692
6.98 MB,122.60 KB,5 Pkts,1 Pkts,1524188579692
6.98 MB,122.60 KB,5 Pkts,1 Pkts,1524188579692
6.98 MB,122.60 KB,5 Pkts,1 Pkts,1524188579692
10.45 MB,177.52 KB,10 Pkts,1 Pkts,1524188579692
10.45 MB,177.52 KB,10 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,10 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,10 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,10 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,10 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,11 Pkts,1 Pkts,1524188579692
13.36 MB,231.13 KB,11 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,11 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,11 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,11 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,11 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,12 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,12 Pkts,1 Pkts,1524188579692
15.59 MB,271.15 KB,12 Pkts,1 Pkts,1524188579692
17.92 MB,304.69 KB,14 Pkts,1 Pkts,1524188579692
17.92 MB,304.69 KB,14 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,15 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,15 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,15 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,16 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,16 Pkts,1 Pkts,1524188579692
19.98 MB,340.85 KB,16 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,18 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,18 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,18 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,22 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,22 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,22 Pkts,1 Pkts,1524188579692
22.79 MB,394.46 KB,22 Pkts,1 Pkts,1524188579692
24.60 MB,439.25 KB,23 Pkts,1 Pkts,1524188579692
24.60 MB,439.25 KB,23 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,24 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,24 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,24 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,28 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,28 Pkts,1 Pkts,1524188579692
26.20 MB,471.99 KB,28 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,28 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,28 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,28 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,37 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,37 Pkts,1 Pkts,1524188579692
28.49 MB,525.16 KB,37 Pkts,1 Pkts,1524188579692
30.16 MB,566.54 KB,39 Pkts,1 Pkts,1524188579692
30.16 MB,566.54 KB,39 Pkts,1 Pkts,1524188579692
30.16 MB,566.54 KB,39 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,42 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,42 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,42 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,49 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,49 Pkts,1 Pkts,1524188579692
33.19 MB,634.16 KB,49 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,49 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,49 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,49 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,55 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,55 Pkts,1 Pkts,1524188579692
35.19 MB,679.52 KB,55 Pkts,1 Pkts,1524188579692
36.43 MB,709.45 KB,59 Pkts,1 Pkts,1524188579692
36.43 MB,709.45 KB,59 Pkts,1 Pkts,1524188579692
36.43 MB,709.45 KB,59 Pkts,1 Pkts,1524188579692
37.55 MB,738.23 KB,65 Pkts,1 Pkts,1524188579692
37.55 MB,738.23 KB,65 Pkts,1 Pkts,1524188579692
37.55 MB,738.23 KB,65 Pkts,1 Pkts,1524188579692
